Run,Channel,Bias [dac],Bias [V],Err Bias [V],OV [V],Err OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,
33900,20,1174,46.054,0.013425,3.584,0.210429,1000,64.0647,121,640.647,123,148,2013.66,2.21264,100.047,163.763,9.07654,0.121752,110.5,0.137789,0.0203533,1.2324,0.0255398,1.25023,1.37881,,
33900,27,1174,46.054,0.013425,4.214,0.240375,1000,64.5099,121,645.099,123,148,2115.89,2.58172,102.823,159.342,9.53261,0.16834,110.5,0.137945,0.0247033,1.60053,0.0405205,1.61906,1.7536,,
33901,20,1174,46.054,0.013425,3.584,0.210429,1100,56.8809,121,568.809,123,148,1768.8,1.9358,87.2833,187.711,8.96581,0.120126,110.5,0.15236,0.0196478,1.21324,0.0244053,1.22999,1.36252,,
33901,27,1174,46.054,0.013425,4.214,0.240375,1100,56.3958,121,563.958,123,148,1854.83,2.3622,89.831,182.387,9.22135,0.166686,110.5,0.128488,0.0243526,1.59372,0.0398592,1.60588,1.72765,,
33902,20,1174,46.054,0.013425,3.584,0.210429,1200,49.9365,121,499.365,123,148,1565.87,1.80318,77.3487,211.82,8.91757,0.122004,110.5,0.137159,0.0201723,1.2502,0.0257434,1.2675,1.39804,,
33902,27,1174,46.054,0.013425,4.214,0.240375,1200,50.2773,121,502.773,123,148,1652.64,2.03469,80.9672,202.354,9.2353,0.168485,110.5,0.127575,0.0243342,1.62555,0.0407525,1.6381,1.75273,,
33903,20,1174,46.054,0.013425,3.584,0.210429,1300,42.2463,121,422.463,123,148,1329.08,1.47348,65.8281,248.891,8.90898,0.117256,110.5,0.138119,0.0199223,1.2319,0.0251184,1.24832,1.36998,,
33903,27,1174,46.054,0.013425,4.214,0.240375,1300,42.6588,121,426.588,123,148,1398.96,1.71189,67.9818,241.006,8.95991,0.16749,110.5,0.123858,0.0236859,1.59532,0.0384849,1.61838,1.74489,,
33904,20,1174,46.054,0.013425,3.584,0.210429,1400,35.7072,121,357.072,123,148,1114.65,1.2296,54.7725,299.128,8.94172,0.113663,110.5,0.145158,0.0199264,1.22909,0.0249359,1.24301,1.37735,,
33904,27,1174,46.054,0.013425,4.214,0.240375,1400,36.4791,121,364.791,123,148,1172.73,1.41795,56.9044,287.922,8.71143,0.148444,110.5,0.146752,0.0230859,1.54567,0.0365723,1.5583,1.71389,,
33905,20,1174,46.054,0.013425,3.584,0.210429,1500,30.9798,121,309.798,123,148,963.063,1.04684,47.6698,343.698,8.675,0.109771,110.5,0.157686,0.0197669,1.19876,0.0242275,1.21415,1.36457,,
33905,27,1174,46.054,0.013425,4.214,0.240375,1500,31.125,121,311.25,123,148,1012.92,1.24957,49.8435,328.709,8.58871,0.149232,110.5,0.121312,0.0231393,1.5858,0.0375105,1.62249,1.72312,,
33906,20,1174,46.054,0.013425,3.584,0.210429,1600,27.5887,121,275.887,123,148,850.138,0.933936,42.1775,388.453,8.79488,0.106963,110.5,0.157279,0.0195415,1.22953,0.0247513,1.23855,1.38433,,
33906,27,1174,46.054,0.013425,4.214,0.240375,1600,27.5735,121,275.735,123,148,898.124,1.12085,43.7338,374.63,9.05127,0.164703,110.5,0.126691,0.0231575,1.5909,0.0378409,1.60908,1.73376,,
33907,20,1174,46.054,0.013425,3.584,0.210429,1700,23.565,121,235.65,123,148,726.194,0.832291,35.9816,455.344,8.6768,0.117901,110.5,0.139173,0.0195107,1.2218,0.0243113,1.24396,1.37231,,
33907,27,1174,46.054,0.013425,4.214,0.240375,1700,23.8457,121,238.457,123,148,762.831,0.896648,37.732,434.221,8.97235,0.145713,110.5,0.136414,0.022515,1.58401,0.0367276,1.61088,1.73328,,
33908,20,1174,46.054,0.013425,3.584,0.210429,1800,19.9335,121,199.335,123,148,606.465,0.672264,30.1058,544.214,8.40812,0.106725,95.2206,0.149764,0.0195538,1.23779,0.0248164,1.25413,1.39052,,
33908,27,1174,46.054,0.013425,4.214,0.240375,1800,20.0167,121,200.167,123,148,640.772,0.787625,31.0637,527.432,8.76389,0.142043,95.2206,0.137029,0.0229802,1.62006,0.0381915,1.64095,1.77457,,
33909,20,1174,46.054,0.013425,3.584,0.210429,1900,17.2672,121,172.672,123,148,516.005,0.608821,25.5575,641.065,7.99763,0.103904,107.55,0.139173,0.0197675,1.26331,0.0254673,1.27817,1.40728,,
33909,27,1174,46.054,0.013425,4.214,0.240375,1900,17.6309,121,176.309,123,148,543.612,0.644736,26.5546,616.993,8.37189,0.136616,107.55,0.136966,0.0219833,1.58821,0.0357788,1.61542,1.75817,,
33910,20,1174,46.054,0.013425,3.584,0.210429,2000,15.605,121,156.05,123,148,456.852,0.527416,22.5679,725.988,8.06535,0.0999702,100.653,0.138332,0.0192061,1.24211,0.0243339,1.25755,1.38341,,
33910,27,1174,46.054,0.013425,4.214,0.240375,2000,15.4564,121,154.564,123,148,480.01,0.607732,23.5237,696.488,8.21594,0.143368,100.653,0.155621,0.0223481,1.55904,0.0360377,1.57084,1.73657,,
33911,20,1174,46.054,0.013425,3.584,0.210429,2100,13.7114,121,137.114,123,148,391.721,0.465647,19.4501,842.361,7.78824,0.0920752,116.037,0.154581,0.0191123,1.24346,0.0243391,1.25954,1.41655,,
33911,27,1174,46.054,0.013425,4.214,0.240375,2100,13.843,121,138.43,123,148,410.647,0.521804,19.9666,820.571,7.84193,0.129464,116.037,0.149773,0.0215314,1.58542,0.0354853,1.59258,1.7735,,
33912,20,1174,46.054,0.013425,3.584,0.210429,2200,11.7263,121,117.263,123,148,324.33,0.405467,16.1375,1015.27,6.93825,0.0868365,71.8572,0.141052,0.0191534,1.23759,0.0242055,1.25283,1.40246,,
33912,27,1174,46.054,0.013425,4.214,0.240375,2200,11.456,121,114.56,123,148,348.476,0.44673,16.9595,966.067,7.63308,0.130281,71.8572,0.14661,0.0224301,1.5865,0.0366289,1.59812,1.7645,,
33913,20,1174,46.054,0.013425,3.584,0.210429,2300,10.3957,121,103.957,123,148,276.187,0.354062,13.6547,1199.88,6.72389,0.0809422,76.4192,0.141881,0.0187566,1.23746,0.0237061,1.25325,1.40068,,
33913,27,1174,46.054,0.013425,4.214,0.240375,2300,10.4686,121,104.686,123,148,290.664,0.389393,14.2575,1149.15,7.08832,0.106161,76.4192,0.145404,0.0209127,1.56446,0.033702,1.58326,1.76502,,
33914,20,1174,46.054,0.013425,3.584,0.210429,2400,9.52329,121,95.2329,123,148,241.557,0.340671,11.9914,1366.32,6.06951,0.0693144,78.7486,0.14918,0.0186002,1.23221,0.0234398,1.24887,1.41554,,
33914,27,1174,46.054,0.013425,4.214,0.240375,2400,9.21999,121,92.1999,123,148,255.317,0.358996,12.4382,1317.23,6.58698,0.0956835,78.7486,0.138218,0.0213928,1.57086,0.0345954,1.60553,1.77362,,
33915,20,1174,46.054,0.013425,3.584,0.210429,2500,8.66856,121,86.6856,123,148,211.157,0.334701,10.4802,1563.33,5.74276,0.0649304,69.09,0.143551,0.0187538,1.25082,0.0240242,1.26507,1.42875,,
33915,27,1174,46.054,0.013425,4.214,0.240375,2500,8.46777,121,84.6777,123,148,223.392,0.331299,10.8461,1510.59,6.24207,0.0898982,69.09,0.138773,0.0210594,1.55847,0.0338584,1.57914,1.75361,,
33916,20,1174,46.054,0.013425,3.584,0.210429,2600,7.7961,121,77.961,123,148,175.665,0.327492,8.68598,1886.26,5.09186,0.0577,84.5368,0.142958,0.0184034,1.23682,0.0233076,1.25094,1.41273,,
33916,27,1174,46.054,0.013425,4.214,0.240375,2600,7.55886,121,75.5886,123,148,186.841,0.30958,9.23096,1774.9,5.77009,0.0797926,84.5368,0.136695,0.0209977,1.59049,0.0342534,1.61263,1.7864,,
33917,20,1174,46.054,0.013425,3.584,0.210429,2700,7.19019,121,71.9019,123,148,147.332,0.31277,7.28999,2247.47,4.50919,0.0514105,95.805,0.149661,0.0179845,1.24532,0.0230125,1.25716,1.42612,,
33917,27,1174,46.054,0.013425,4.214,0.240375,2700,6.82365,121,68.2365,123,148,155.455,0.295782,7.47942,2190.54,5.25155,0.0748205,95.805,0.127846,0.0207916,1.60762,0.0342029,1.63169,1.79769,,
33918,20,1174,46.054,0.013425,3.584,0.210429,2800,6.81654,121,68.1654,123,148,128.778,0.317212,6.28381,2607.34,4.04976,0.0485689,89.4957,0.133019,0.0177454,1.26771,0.0230645,1.27806,1.43265,,
33918,27,1174,46.054,0.013425,4.214,0.240375,2800,6.50502,121,65.0502,123,148,136.19,0.276791,6.55432,2499.73,4.6974,0.0621784,89.4957,0.138899,0.0197687,1.57286,0.0321803,1.59252,1.78618,,
33919,20,1174,46.054,0.013425,3.584,0.210429,2900,6.62985,121,66.2985,123,148,115.209,0.347782,5.66666,2891.3,3.61512,0.0440362,103.788,0.155207,0.0173075,1.22665,0.0218979,1.23341,1.40602,,
33919,27,1174,46.054,0.013425,4.214,0.240375,2900,6.17277,121,61.7277,123,148,121.724,0.273519,5.82565,2812.39,4.27722,0.0588911,103.788,0.160266,0.0198715,1.55664,0.0320909,1.56413,1.79466,,
34060,20,1174,46.054,0.013425,3.584,0.210429,3000,6.17277,121,61.7277,123,148,104.472,0.387116,5.15373,3179.05,3.42854,0.0482087,64.269,0.157275,0.0179442,1.23708,0.0228644,1.24727,1.42377,,
34060,27,1174,46.054,0.013425,4.214,0.240375,3000,6.17277,121,61.7277,123,148,111.55,0.307281,5.46925,2995.66,3.83956,0.0536489,64.269,0.132569,0.0191223,1.5967,0.0313244,1.61958,1.79773,,
